Section,Description,Offense,Punishment
140,"according to section 140 of indian penal code, whoever, not being a soldier, sailor or airman in the military, naval or air service of the government of india, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both. ipc 140 in simple words if someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 months or fine or both
127,"according to section 127 of indian penal code, whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received. ipc 127 in simple words if someone receives property knowing it was taken during the commission of certain offenses (mentioned in sections 125 and 126), they can be punished with imprisonment of up to seven years, fined, and the property can be forfeited.",receiving property taken by war or depredation mentioned in sections 125 and 126,7 years + fine + forfeiture of property
128,"according to section 128 of indian penal code, whoever, being a public servant and having the custody of any state prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 128 in simple words if a public servant, responsible for the custody of a state prisoner or prisoner of war, intentionally allows the prisoner to escape from confinement, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.",public servant voluntarily allowing prisoner of state or war in his custody to escape,imprisonment for life or 10 years + fine
129,"according to section 129 of indian penal code, whoever, being a public servant and having the custody of any state prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine. ipc 129 in simple words if a public servant, responsible for the custody of a state prisoner or prisoner of war, carelessly allows the prisoner to escape from confinement, they can be punished with up to three years in jail and may also be fined.",public servant negligently suffering prisoner of state or war in his custody to escape,simple imprisonment 3 years + fine
130,"according to section 130 of indian penal code, whoever knowingly aids or assists any state prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 130 in simple words if someone knowingly helps a state prisoner or prisoner of war escape from lawful custody, rescues them, hides them after their escape, or resists their recapture, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner",imprisonment for life or 10 years + fine
131,"according to section 131 of indian penal code, whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the army, navy or air force of the government of india or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 131 in simple words if someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the indian army, navy, or air force or tries to lead them astray from their loyalty or duty, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",imprisonment for life or 10 years + fine
132,"according to section 132 of indian penal code, whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the army, navy or air force of the government of india, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 132 in simple words if someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the indian army, navy, or air force, and mutiny occurs as a result, the abettor can be punished with death, life imprisonment, or imprisonment for up to ten years, and may also be fined.","abetment of mutiny, if mutiny is committed in consequence thereof",death or imprisonment for life or 10 years + fine
133,"according to section 133 of indian penal code, whoever abets an assault by an officer, soldier, sailor or airman, in the army, navy or air force of the government of india, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. ipc 133 in simple words if someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, the abettor can be punished with up to three years in jail and a fine.","abetment of an assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office",3 years + fine
134,"according to section 134 of indian penal code, whoever abets an assault by an officer, soldier, sailor or airman, in the army, navy or air force of the government of india, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 134 in simple words if someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, and the assault occurs as a result, the abettor can be punished with up to seven years in jail and a fine.","abetment of such assault, if the assault is committed",7 years + fine
135,"according to section 135 of indian penal code, whoever, abets the desertion of any officer, soldier, sailor or airman, in the army, navy or air force of the government of india, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. ipc 135 in simple words if someone encourages or supports the desertion of an officer, soldier, sailor, or airman from the indian army, navy, or air force, they can be punished with up to two years in jail, a fine, or both.","abetment of the desertion of an officer, soldier, sailor or airman",2 years or fine or both
